id,type,text1,text2,text3,notes
neutrino_misery,WEAPON,"A dual spiralize pulsed boson accelerator that offers good range and effective damage. Designed for continuous suppress on shield and occasionally some auxiliary PD assist. Had small chance to deal extra damage on hit.

A miniaturized Baneful Boson Blaster that intended to fit an all-round fire support role. But restricted by its low penetrating power, it mostly be used as an anti-fighter weapon as its original design, besides from the shield pressuring role.

The Baneful Boson Blaster is the answer from Neutrino to the high quality shields became a standard-issue equipment for recently ship designs, even though the initial goal of this project was an anti-fighter weapon. Neutrino claimed that all weapons in Baneful Boson Blaster series could sometimes cause much greater destruction on hit, and that was observed afield. But any experienced captains are supposed to know these kind of ""lucky shots"" are not reliable, especially when their judgment will matter the difference between live and death.
",Assault,,
neutrino_goliath,WEAPON,"A burst-fire rocket system, easily suppresses offending PD systems with sheer volume. Easily shuts down enemy subsystems if the rockets get through.

Can easily disable subsystems and destroy target at the same time. Maybe a little overkilled, but this weapon is a belt and braces measure you want to have when you needs to disable a target completely for sure.

The Thundernail electrostatic rocket is a simple design that use high density ultracapacitor to stores electrons and release them when impact. In addition to a significant EMP effect, this discharging will release a high current pass through armor plates, vaporize and ionize them, resulting a series of internal explosion that can break them effectively.
",Assault,,
neutrino_silverlance,WEAPON,"A high energy burst beam. It can penetrate most hulls, shielded or unshielded. It also causea significant EMP effects along its path. Unfortunately, this beam can not deal all its potential damage in most situations. 

Unlike other weapons, Neutrino Corp refuses to discuss how this weapon works.",Strike,,
neutrino_superphasemissilelauncher,WEAPON,CLASSIFIED,Strike,,
,,,,,
,,,,,
neutrino_drone_scout,SHIP_SYSTEM,Launches scout drones for the ship to acquire targets. Has a long free roam range.,Drones,,
neutrino_swarmflarelauncher,SHIP_SYSTEM,"An improvement to the flare system by simply launching more flares, somewhat expensive given the efficacy of flares. ",Defensive,,
neutrino_guardianshield,SHIP_SYSTEM,A 1.0 efficiency widescale shield capable of covering an entire fleet and taking in entire fleets worth of fire. Massive flux capacity. Cannot dissipate soft flux.,Defensive,,
neutrino_shielddrones,SHIP_SYSTEM,Launches three shield drones that will immediately start trying to block incoming enemy fire.,Drones,,
neutrino_derpchargesystem,SHIP_SYSTEM,"Durable, Energy, Retaining, Pod, or DERP. These Smart warheads carry a specially contained amount of antimatter, dealing light damage and some EMP within a large area to whatever they come in contact with. Launchers are hidden within ships.",Defensive,,
neutrino_arcsurge,SHIP_SYSTEM,"An EMP emitter modified to send a thin stream of plasma before the weapon discharges, this systems increases the damage caused by increasing efficiency. This system can be fired concurrently with weapons, at the cost of generating hard flux with use.",Offensive,,
neutrino_phasemissilesystem,SHIP_SYSTEM,A special transmitter sends a signal to missiles in waiting that promptly re-enter normal space. The transmitter takes a fair bit of flux to activate and slowly recharges.,Offensive,,
neutrino_cruise_engine,SHIP_SYSTEM,"By redirecting the flux allocated to the weapon systems, the ship can activate its cruise drive for long distance travel. Shields are still available for use but will decrease the drive's speed.",Defensive,,
neutrino_siege,SHIP_SYSTEM,"Redirects all unnecessary flux usage and diverts it to increase weapon range and damage at the cost of rate of fire, turret rotation speed, and mobility.",Offensive,,
neutrino_reactioncontrolsystem,SHIP_SYSTEM,"By manipulating total inertia, it stores it for later use in high speed bursts at the cost of lowered normal ship speeds.",Defensive,,
neutrino_fighterevasion,SHIP_SYSTEM,Perform an evasive maneuver by firing up built-in micro Reaction Control System,Defensive,,
neutrino_schwarm,SHIP_SYSTEM,Multitude of near identical Schwarm drones interlinked for combat.,Offensive,,
neutrino_schwarm2,SHIP_SYSTEM,Multitude of near identical Schwarm drones interlinked for combat.,Offensive,,
neutrino_schwarm3,SHIP_SYSTEM,Multitude of near identical Schwarm drones interlinked for combat.,Offensive,,
neutrino_rotte,SHIP_SYSTEM,Coordinate a pair of nimble Rotte drones for combat.,Offensive,,
neutrino_phasebombrelease,SHIP_SYSTEM,Deploy ordnances by using a built-in patented short range phase launcher. Can be used while phased.,Offensive,,
neutrino_highenergyfury,SHIP_SYSTEM,"A polyphase power amplifier that can increase both damage and rate of fire for energy weapons and enable engine boost. Due to its high energy consumption, the ship flux core cannot dissipate hard flux while this system is actived.",Offensive,"Briefly increases the damage dealt, rate of fire, flux efficacy for all energy weapons, and enables engine boost. The trade off is the inability to dissipate hard flux during the system's operation.",
neutrino_trajectorycontrolsystem,SHIP_SYSTEM,"An advanced missile trajectory control system that optimize missile trajectory and counter enemies countermeasures. Increase missile maneuverability, survivability, and damage potential. Make them immune to most countermeasures. Also optimize missile launching sequence.",Offensive,,
neutrino_swarmflarelauncher_fighter,SHIP_SYSTEM,"An improvement to the flare system by simply launching more flares, somewhat expensive given the efficacy of flares. ",Defensive,,
neutrino_barghest,SHIP_SYSTEM,CLASSIFIED,Drones,,
,,,,,
,,,,,
neut_star_neutron,PLANET,"RX J1856.5-3754 is a small neutron star in the Corona Australis system, it has become the home system of the Neutrino Corporation and is now a proud supplier of Neutronium.",,,
neut_rocky_unstable,PLANET,"After the supernova explosion, debris has collected into this planetoid, being of little value, it has now been cleared for planetary bombardment and weapon testing.",,,
,,,,,
neut_station_smalldrill,CUSTOM,"A centuries old phasic-graviton laser that's been directed at RX J1856.5-3754 for decades, a source of neutronium plating for most neutrino ships in the sector.",,,
neut_station_largeprocessing,CUSTOM,"A heavily industrialized autofactory, from raw material processing to starship production, each has it's own place inside this complex.",,,
neut_station_experimental,CUSTOM,"Mainly a testing facility for weapons and experimental technology that have been techmined, frequently uses the orbiting planet as a target for its host of tests.",,,
neut_station_powerplant,CUSTOM,A Neutrino high-efficiency solar power plant and regional warehouse for the Corvus system.,,,
neut_exelionabandoned,CUSTOM,The IFF code shows this should be a Neutrino remote astrophysics research station.,,,
,,,,,
neutrinocorp,FACTION,"A corporation as old as the Tri-Tachyon. Designs and technologies were once shared and inter-mixed, but after a falling out the corporations rarely co-exist peacefully in the same system.",,,
